GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 26 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	1.30172	0.196554	0.00399033
0.0296843	1.28729	0.1276	0.00411202
0.0336533	1.3045	0.0855757	0.00436573
0.0377599	1.2319	0.0714691	0.00444921
0.0418395	1.32085	0.0677865	0.00451142
0.0458278	1.20768	0.0659942	0.00458327
0.0498202	1.13289	0.0578322	0.00465544
0.0538137	1.19035	0.0595936	0.0047327
0.0579017	1.14569	0.0580416	0.00486012
0.0619148	1.08982	0.057295	0.00496008
0.0658792	1.02569	0.0559414	0.00506434
0.0698952	1.06219	0.0536082	0.00515838
0.0739481	1.02225	0.0539107	0.00526184
0.0780068	1.09503	0.0529494	0.00536645
0.0820291	0.970826	0.0506415	0.00547719
0.0860266	0.90708	0.0477684	0.00558596
0.0900916	0.94496	0.0469461	0.00569822
0.0940693	0.867381	0.0468119	0.0058147
0.0980264	0.993883	0.0470993	0.00592905
0.102003	1.03581	0.0490057	0.00604732
0.106119	0.912759	0.0430752	0.00617261
0.110222	0.979306	0.0459354	0.0063045
0.114234	0.921186	0.0436096	0.00642491
0.118212	0.998445	0.0450275	0.00655432
0.122215	1.09179	0.0462227	0.00668403
0.12626	1.01584	0.0436143	0.00681677
0.130359	1.09609	0.0445754	0.00696012
0.134478	1.13277	0.0447066	0.00709716
0.138483	1.16627	0.046053	0.00723088
0.1425	1.13717	0.0439765	0.00737137
0.146519	1.08666	0.0430303	0.00750545
0.15059	1.14633	0.043165	0.00765812
0.154649	1.22301	0.0444624	0.00779877
0.158639	1.21181	0.0446167	0.00794036
0.162644	1.22019	0.0430466	0.00808005
0.166671	1.1477	0.042376	0.00823037
0.170708	1.17924	0.0415307	0.00838125
0.174744	1.13078	0.0410504	0.00852352
