GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:37:01     End: 18-Oct-11   06:37:11   
  
Foreground:  44798 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 46 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254271	1.86571	0.0348975	0.00398814
0.029668	1.88225	0.0228653	0.00410976
0.0336348	1.82747	0.0149994	0.00436333
0.0377391	1.77249	0.0126651	0.00444677
0.0418165	1.70338	0.0113695	0.00450894
0.0458026	1.63269	0.0113003	0.00458076
0.0497928	1.55777	0.00995787	0.00465288
0.0537841	1.48284	0.00975309	0.0047301
0.0578699	1.40983	0.00943749	0.00485745
0.0618808	1.36827	0.00938911	0.00495735
0.0658431	1.28566	0.00912913	0.00506156
0.0698568	1.26652	0.00854673	0.00515555
0.0739075	1.24197	0.00864227	0.00525895
0.0779639	1.22556	0.00817061	0.0053635
0.081984	1.19838	0.00818508	0.00547418
0.0859793	1.20538	0.00800334	0.00558289
0.0900421	1.20599	0.00771551	0.00569509
0.0940176	1.21806	0.00804855	0.00581151
0.0979726	1.23721	0.00765796	0.00592579
0.101947	1.24409	0.00782574	0.00604399
0.10606	1.28595	0.00744039	0.00616922
0.110161	1.32759	0.00779736	0.00630104
0.114171	1.34378	0.00768131	0.00642138
0.118147	1.37643	0.00771918	0.00655072
0.122148	1.42238	0.00772584	0.00668036
0.12619	1.47191	0.00768437	0.00681303
0.130287	1.49642	0.00763587	0.0069563
0.134404	1.5105	0.00757252	0.00709326
0.138407	1.52547	0.00773001	0.00722691
0.142422	1.51835	0.00746378	0.00736732
0.146439	1.50503	0.00742012	0.00750133
0.150508	1.48179	0.00719841	0.00765391
0.154564	1.42163	0.00702586	0.00779448
0.158552	1.37137	0.00694201	0.007936
0.162554	1.31237	0.00652878	0.00807561
0.166579	1.26302	0.00648919	0.00822584
0.170614	1.20392	0.00612142	0.00837665
