<X>   <Y>   <dY>
-177  99.0339  6.30592
-171  155.201  4.71296
-165  212.618  5.7139
-159  247.721  6.72033
-153  288.136  7.13418
-147  285.057  6.47209
-141  256.32  6.15309
-135  198.994  6.46842
-129  145.227  4.84162
-123  101.245  4.43874
-117  69.7932  3.81119
-111  59.9112  3.57184
-105  46.0009  3.24036
-99  41.0069  3.06518
-93  34.9464  2.86328
-87  30.144  2.69513
-81  23.8473  3.01069
-75  26.5121  2.38491
-69  23.2205  2.66439
-63  22.8965  2.24871
-57  23.4659  2.26343
-51  25.1581  2.73217
-45  23.8431  2.2656
-39  27.5436  2.61534
-33  34.7537  2.85644
-27  33.3902  3.09247
-21  43.8669  2.94753
-15  46.6493  3.26752
-9  64.2357  3.52854
-3  79.3753  4.51452
3  120.427  4.30113
9  161.492  5.20065
15  217.68  6.423
21  250.7  6.76216
27  247.802  7.40781
33  240.109  6.23332
39  188.079  5.95241
45  148.47  5.87295
51  118.58  4.76788
57  72.475  3.82502
63  66.5784  3.45614
69  44.1777  3.14479
75  38.7773  2.75417
81  28.5809  3.18993
87  27.4253  2.56676
93  25.9166  2.52212
99  25.4391  2.51229
105  19.7849  2.31896
111  19.9931  2.30445
117  20.0635  2.49954
123  22.045  2.18364
129  20.2167  2.13107
135  19.135  2.29256
141  18.9784  2.34009
147  27.742  2.64369
153  30.5042  2.74004
159  35.7311  2.69224
165  39.7312  3.07579
171  55.6306  3.04246
177  77.475  4.04915
