<X>   <Y>   <dY>
-177  12.3799  2.14426
-171  15.5657  2.07366
-165  16.8356  1.90653
-159  17.5204  2.01964
-153  20.8666  2.01264
-147  16.5246  2.04177
-141  19.5813  1.9914
-135  27.7793  1.93936
-129  27.3321  2.05765
-123  34.0263  2.08139
-117  42.1885  2.24815
-111  46.7325  2.31887
-105  49.1353  2.19549
-99  62.8635  2.44197
-93  58.8289  2.49209
-87  67.1165  2.4129
-81  49.5734  2.11135
-75  55.3579  2.39687
-69  42.6621  2.13454
-63  40.7795  2.1742
-57  28.4661  2.15009
-51  27.0639  1.9568
-45  23.5495  1.93718
-39  21.1802  1.90307
-33  19.4683  1.88676
-27  15.3926  2.02406
-21  13.8184  1.95211
-15  14.2384  1.92284
-9  15.3661  2.13968
-3  14.156  2.08886
3  15.8185  2.06818
9  14.2443  1.90886
15  16.3791  2.05656
21  16.9384  1.96885
27  16.1602  1.97639
33  17.8541  1.98355
39  21.3584  2.08175
45  26.3766  2.02189
51  25.6227  2.12611
57  33.8843  2.06751
63  36.1268  2.04631
69  42.2968  2.15575
75  50.251  2.29749
81  57.6966  2.25436
87  70.5487  2.43384
93  54.4794  2.42811
99  62.6838  2.60179
105  49.5284  2.18428
111  45.877  2.10554
117  36.561  2.22088
123  36.5651  2.00234
129  26.7867  1.91158
135  19.8759  2.11795
141  20.9324  1.89446
147  15.7267  1.98668
153  19.7148  2.0203
159  16.2241  1.95262
165  19.6948  2.01926
171  12.4427  1.79729
177  16.6916  2.08564
