GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:28:01     End: 18-Oct-11   06:29:24   
  
Foreground:  44753 , Loaded: 44753 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 281 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254411	2.08041	0.249039	0.00399033
0.0296843	1.75759	0.149784	0.00411202
0.0336533	1.69939	0.0979261	0.00436573
0.0377599	1.62777	0.0824319	0.00444921
0.0418395	1.71892	0.0776202	0.00451142
0.0458278	1.55248	0.0750685	0.00458327
0.0498202	1.46332	0.0659955	0.00465544
0.0538137	1.38173	0.0644868	0.0047327
0.0579017	1.29089	0.0619729	0.00486012
0.0619148	1.33416	0.0636912	0.00496008
0.0658792	1.3665	0.0647091	0.00506434
0.0698952	1.30686	0.0597368	0.00515838
0.0739481	1.33748	0.0617386	0.00526184
0.0780068	1.13019	0.0541233	0.00536645
0.0820291	1.15821	0.055495	0.00547719
0.0860266	1.13918	0.0536676	0.00558596
0.0900916	1.17748	0.0526001	0.00569822
0.0940693	1.23747	0.0559036	0.0058147
0.0980264	1.15176	0.0509253	0.00592905
0.102003	1.20046	0.0529562	0.00604732
0.106119	1.2264	0.0499968	0.00617261
0.110222	1.16012	0.0501775	0.0063045
0.114234	1.27539	0.0514322	0.00642491
0.118212	1.31525	0.0518087	0.00655432
0.122215	1.42814	0.0530218	0.00668403
0.12626	1.33879	0.0502361	0.00681677
0.130359	1.39173	0.0503714	0.00696012
0.134478	1.42614	0.0503657	0.00709716
0.138483	1.46369	0.0517794	0.00723088
0.1425	1.48084	0.0503706	0.00737137
0.146519	1.56503	0.0517133	0.00750545
0.15059	1.40361	0.0479431	0.00765812
0.154649	1.44448	0.0485134	0.00779877
0.158639	1.31465	0.0466863	0.00794036
0.162644	1.2735	0.0442554	0.00808005
0.166671	1.24463	0.0443699	0.00823037
0.170708	1.27196	0.0433577	0.00838125
