GRASP V.6.28    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  N117 35C rh          
Start: 18-Oct-11   06:34:39     End: 18-Oct-11   06:34:49   
  
Foreground:  44784 , Loaded: 44754:44813 
Background:  43225 , Loaded: 43225 
Cadmium: No Cadmium Subtraction 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 2e-006 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is Out.  NO ATTENUATION  
Attenuator: 0 is In. Up-scaling data by 1 
Beam Centre1 :  Cx = 13.9339  Cy = 63.8863       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.62251 +/- 0.00067316  Te = 0.9557 +/- 0.00090528 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
Data: Corrected for D22 Detector Paralax 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.1 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 32 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0254301	1.83273	0.0345762	0.00398861
0.0296715	1.8112	0.0223993	0.00411024
0.0336388	1.79632	0.0148683	0.00436384
0.0377436	1.74757	0.012574	0.00444729
0.0418214	1.69918	0.0113573	0.00450948
0.045808	1.61797	0.0112498	0.00458129
0.0497987	1.53055	0.00986993	0.00465343
0.0537905	1.46493	0.00969487	0.00473066
0.0578768	1.41181	0.00944971	0.00485802
0.0618881	1.36098	0.00936765	0.00495794
0.0658508	1.30044	0.00918854	0.00506216
0.069865	1.25227	0.00849962	0.00515615
0.0739162	1.23034	0.00860514	0.00525957
0.0779731	1.21259	0.00812741	0.00536413
0.0819937	1.19556	0.00817927	0.00547482
0.0859895	1.20376	0.00800057	0.00558355
0.0900527	1.2079	0.00772608	0.00569576
0.0940287	1.21759	0.00805045	0.00581219
0.0979841	1.22453	0.00762079	0.00592649
0.101959	1.2397	0.0078152	0.00604471
0.106073	1.27299	0.0074031	0.00616995
0.110174	1.31308	0.00775565	0.00630178
0.114185	1.33186	0.00764914	0.00642214
0.118161	1.37908	0.00772937	0.00655149
0.122162	1.41892	0.00771933	0.00668115
0.126205	1.42848	0.00756539	0.00681383
0.130302	1.48723	0.0076141	0.00695712
0.13442	1.5103	0.00757633	0.0070941
0.138423	1.51693	0.00771114	0.00722776
0.142439	1.51859	0.00746851	0.00736819
0.146456	1.51932	0.00746266	0.00750221
0.150525	1.48053	0.00719827	0.00765482
0.154582	1.43541	0.00706465	0.0077954
0.158571	1.38405	0.00697932	0.00793693
0.162573	1.31445	0.00653695	0.00807656
0.166599	1.27015	0.00651173	0.00822681
0.170634	1.19954	0.006112	0.00837763
